type,species,order
bee,Agapostemon_sericeus,30
bee,Agapostemon_splendens,103
bee,Agapostemon_virescens,48
bee,Andrena_andrenoides,95
bee,Andrena_arabis,101
bee,Andrena_carlini,9
bee,Andrena_cressonii,27
bee,Andrena_distans,84
bee,Andrena_dunningi,108
bee,Andrena_erigeniae,85
bee,Andrena_erythrogaster,104
bee,Andrena_erythronii,71
bee,Andrena_forbesii,86
bee,Andrena_geranii,44
bee,Andrena_illini_sayi,46
bee,Andrena_illinoensis,98
bee,Andrena_imitatrix,59
bee,Andrena_mandibularis,54
bee,Andrena_mariae,72
bee,Andrena_miserabilis,75
bee,Andrena_nasonii,90
bee,Andrena_nuda,96
bee,Andrena_personata,68
bee,Andrena_polemonii,69
bee,Andrena_pruni,42
bee,Andrena_rugosa,52
bee,Andrena_salictaria,97
bee,Andrena_violae,56
bee,Anthophora_abrupta,26
bee,Anthophora_terminalis,80
bee,Anthophora_ursina,16
bee,Apis_mellifera,4
bee,Augochlora_pura,32
bee,Augochlorella_aurata,7
bee,Augochlorella_persimilis,29
bee,Augochloropsis_fulgida_metallica,37
bee,Bombus_auricomus,13
bee,Bombus_bimaculatus,14
bee,Bombus_griseocollis,2
bee,Bombus_impatiens,3
bee,Bombus_pensylvanicus,1
bee,Bombus_vagans,10
bee,Bombus_variabilis,28
bee,Ceratina_calcarata_dupla,6
bee,Chelostoma_philadelphi,82
bee,Coelioxys_sayi,79
bee,Colletes_inaequalis,39
bee,Eucera_dubitata,8
bee,Eucera_hamata,5
bee,Eucera_rosae,63
bee,Habropoda_laboriosa,61
bee,Halictus_confusus,18
bee,Halictus_ligatus,45
bee,Halictus_rubicundus,17
bee,Hoplitis_pilosifrons,70
bee,Hoplitis_spoliata,87
bee,Hylaeus_affinis,76
bee,Hylaeus_brevicornis,77
bee,Hylaeus_modestus,58
bee,Hylaeus_saniculae,78
bee,Lasioglossum_albipenne,88
bee,Lasioglossum_cinctipes,102
bee,Lasioglossum_coeruleum,94
bee,Lasioglossum_coriaceum,19
bee,Lasioglossum_cressonii,62
bee,Lasioglossum_forbesii,43
bee,Lasioglossum_foxii,36
bee,Lasioglossum_illinoense,109
bee,Lasioglossum_imitatum,20
bee,Lasioglossum_laevissimum,74
bee,Lasioglossum_macoupinense,23
bee,Lasioglossum_obscurum,31
bee,Lasioglossum_pectorale,21
bee,Lasioglossum_pilosum,22
bee,Lasioglossum_pruinosum,51
bee,Lasioglossum_tegulare,49
bee,Lasioglossum_truncatum,107
bee,Lasioglossum_versatum,12
bee,Lasioglossum_zephyrum,41
bee,Megachile_brevis,57
bee,Megachile_mendica,60
bee,Nomada_affabilis,35
bee,Nomada_articulata,65
bee,Nomada_cressonii,50
bee,Nomada_cuneata,91
bee,Nomada_dentariae,40
bee,Nomada_denticulata,100
bee,Nomada_hydrophylli,55
bee,Nomada_illinoensis,92
bee,Nomada_integerrima,93
bee,Nomada_luteoloides,64
bee,Nomada_obliterata,105
bee,Nomada_ovata,34
bee,Nomada_parva,89
bee,Nomada_sayi,47
bee,Nomada_superba,66
bee,Osmia_atriventris,24
bee,Osmia_bucephala,25
bee,Osmia_collinsiae,33
bee,Osmia_conjuncta,38
bee,Osmia_cordata,53
bee,Osmia_lignaria,15
bee,Osmia_pumila,11
bee,Osmia_simillima,67
bee,Pseudopanurgus_parvus,81
bee,Sphecodes_dichrous,106
bee,Sphecodes_ranunculi,83
bee,Sphecodes_smilacinae,73
bee,Stelis_lateralis,99
plant,Anemonella_thalictroides,17
plant,Camassia_scilloides,11
plant,Claytonia_virginica,1
plant,Delphinium_tricorne,24
plant,Dentaria_laciniata,5
plant,Dicentra_cucullaria,21
plant,Erigenia_bulbosa,3
plant,Erythronium_albidum,12
plant,Geranium_maculatum,2
plant,Hydrophyllum_appendiculatum,8
plant,Hydrophyllum_virginianum,18
plant,Isopyrum_biternatum,4
plant,Maianthemum_racemosum,22
plant,Maianthemum_stellatum,14
plant,Mertensia_virginica,19
plant,Monarda_bradburiana,10
plant,Oxalis_violacea,7
plant,Phlox_divaricata,25
plant,Podophyllum_peltatum,26
plant,Polemonium_reptans,6
plant,Ranunculus_hispidus_var_nitidus,9
plant,Sanicula_odorata,13
plant,Tradescantia_virginiana,15
plant,Uvularia_grandiflora,23
plant,Viola_pubescens,20
plant,Viola_sororia,16
